aggregation_level,take_count,total_frames,evaluated_frames,gesture_frames,no_gesture_frames,no_hand_frames,unannotated_frames,gesture_fraction,no_gesture_fraction,no_hand_fraction,gesture_duration_frames_mean,gesture_duration_frames_median,gesture_duration_frames_std,gesture_duration_frames_q1,gesture_duration_frames_q3,gesture_duration_frames_min,gesture_duration_frames_max,gesture_duration_s_mean,gesture_duration_s_median,gesture_duration_s_std,gesture_duration_s_q1,gesture_duration_s_q3,gesture_duration_s_min,gesture_duration_s_max,public_subject_id,background,gesture_id
gesture,150,23861,23861,7862,15955,44,0,0.329491639076317,0.6686643476803151,0.0018440132433678387,52.413333333333334,52.0,10.794720724767599,47.0,58.0,16.0,75.0,2.6206666666666663,2.6,0.5397360362383798,2.35,2.9,0.8,3.75,,,B
gesture,150,23960,23960,7910,16035,15,0,0.33013355592654425,0.6692404006677797,0.0006260434056761269,52.733333333333334,53.0,11.062159131618197,47.0,59.75,18.0,88.0,2.636666666666667,2.65,0.5531079565809098,2.35,2.9875,0.9,4.4,,,C
gesture,150,24677,24677,8314,16351,12,0,0.3369129148599911,0.6626008023665761,0.00048628277343275116,55.42666666666667,55.0,10.732467623875655,48.25,63.0,22.0,83.0,2.771333333333333,2.75,0.5366233811937828,2.4125,3.15,1.1,4.15,,,E
gesture,150,24715,24715,8472,16218,25,0,0.3427877806999798,0.6562006878413918,0.0010115314586283633,56.48,57.0,11.654258662242011,50.0,63.0,14.0,98.0,2.8240000000000003,2.85,0.5827129331121006,2.5,3.15,0.7,4.9,,,I
gesture,150,24666,24666,8521,16142,3,0,0.34545528257520475,0.6544230925160139,0.00012162490878131841,56.806666666666665,56.0,11.977998099797277,49.0,64.0,15.0,105.0,2.840333333333333,2.8,0.5988999049898639,2.45,3.2,0.75,5.25,,,L
gesture,150,24142,24142,8184,15948,10,0,0.3389942838207274,0.6605915002899512,0.0004142158893215144,54.56,54.0,11.26941575875272,46.0,60.75,30.0,86.0,2.7279999999999998,2.7,0.563470787937636,2.3,3.0374999999999996,1.5,4.3,,,M
gesture,150,24617,24617,7859,16752,6,0,0.31925092415810213,0.680505341836942,0.00024373400495592476,52.39333333333333,52.0,10.64049291553068,47.0,58.0,24.0,84.0,2.619666666666667,2.6,0.5320246457765341,2.35,2.9,1.2,4.2,,,N
gesture,150,24754,24754,8498,16256,0,0,0.3432980528399451,0.6567019471600549,0.0,56.653333333333336,57.0,12.041308467923526,48.25,65.75,27.0,83.0,2.8326666666666664,2.85,0.6020654233961762,2.4125,3.2874999999999996,1.35,4.15,,,O
gesture,150,24284,24284,8209,16074,1,0,0.33804150881238676,0.6619173118102454,4.1179377367814196e-05,54.72666666666667,53.0,10.647428820713948,48.0,60.0,18.0,83.0,2.736333333333333,2.65,0.5323714410356974,2.4,3.0,0.9,4.15,,,P
gesture,150,24430,24430,8145,16284,1,0,0.3334015554645927,0.6665575112566516,4.0933278755628324e-05,54.3,53.0,11.936493026505401,47.0,59.0,27.0,92.0,2.715,2.65,0.5968246513252701,2.35,2.95,1.35,4.6,,,R
