take_id,frame_count,annotation_override_frames,detector_evaluated_frames,detector_hand_present_frames,detector_hand_missing_frames,unannotated_frames,reference_error_frames,detector_elapsed_ms,elapsed_wall_time_s,worker_pid
P03_WHITE_U_take_0004,177,54,123,122,1,0,0,4599.258300000656,5.099980899999991,27164
P03_WHITE_U_take_0005,174,63,111,110,1,0,0,4345.0474000014765,4.62637820000009,23684
P03_WHITE_U_take_0006,169,43,126,124,2,0,0,4801.618400001644,5.080036199999995,23020
P03_WHITE_U_take_0007,166,54,112,112,0,0,0,3866.2842000007913,4.136801200000264,27164
P03_WHITE_U_take_0008,173,59,114,114,0,0,0,3767.3934000031295,4.061751700000059,19472
P03_WHITE_U_take_0009,166,56,110,108,2,0,0,4101.5310999973735,4.369872300000225,26520
P03_WHITE_U_take_0010,166,49,117,117,0,0,0,4334.898700002668,4.6165022000000135,22812
P03_WHITE_V_take_0001,182,55,127,127,0,0,0,4250.917999999729,4.593212700000095,23252
P03_WHITE_V_take_0002,181,54,127,127,0,0,0,4223.957500000779,4.576853699999901,26504
P03_WHITE_V_take_0003,182,60,122,122,0,0,0,4231.808299998647,4.579401400000279,24320
P03_WHITE_V_take_0004,182,42,140,140,0,0,0,4614.116700000977,5.041975300000104,13740
P03_WHITE_V_take_0005,182,57,125,125,0,0,0,4107.8406999954495,4.484265900000082,16028
P03_WHITE_V_take_0006,183,65,118,118,0,0,0,4016.132799999923,4.309749000000011,30392
P03_WHITE_V_take_0007,181,51,130,130,0,0,0,4370.32969999882,4.7364966000000095,23684
P03_WHITE_V_take_0008,182,52,130,130,0,0,0,4467.270899999221,4.837281800000255,19472
P03_WHITE_V_take_0009,182,63,119,119,0,0,0,3973.760700000639,4.349338700000317,25208
P03_WHITE_V_take_0010,181,54,127,127,0,0,0,4211.941200000183,4.5823686999997335,23020
P03_WHITE_W_take_0001,180,55,125,125,0,0,0,4180.085900004087,4.553190699999959,7280
P03_WHITE_W_take_0002,175,56,119,119,0,0,0,3948.960199998055,4.368342300000222,23252
P03_WHITE_W_take_0003,176,62,114,114,0,0,0,3720.9294000008413,4.179861399999936,16028
P03_WHITE_W_take_0004,178,68,110,110,0,0,0,3593.460199999754,3.9771319999999832,19472
P03_WHITE_W_take_0005,181,61,120,120,0,0,0,4209.65520000118,4.547109500000261,5692
P03_WHITE_W_take_0006,182,74,108,108,0,0,0,3671.6478000025745,3.9892076999999517,7280
P03_WHITE_W_take_0007,181,69,112,112,0,0,0,3732.0265000012114,4.075014300000021,18664
P03_WHITE_W_take_0008,178,51,127,127,0,0,0,4200.458599998001,4.609050300000035,25208
P03_WHITE_W_take_0009,177,52,125,125,0,0,0,4031.30789999841,4.505056299999978,26520
P03_WHITE_W_take_0010,176,58,118,118,0,0,0,3768.2147999994413,4.240498899999693,19472
P03_WHITE_Y_take_0001,182,51,131,131,0,0,0,4364.642000001822,4.745627900000272,27164
P03_WHITE_Y_take_0002,182,69,113,113,0,0,0,4105.61330000246,4.425644399999783,26520
P03_WHITE_Y_take_0003,182,48,134,134,0,0,0,4463.390499996876,4.869431999999961,22812
P03_WHITE_Y_take_0004,181,60,121,121,0,0,0,4047.9216000035194,4.411131999999725,30392
P03_WHITE_Y_take_0005,181,55,126,126,0,0,0,4556.973100001414,4.901124699999855,23252
P03_WHITE_Y_take_0006,181,54,127,127,0,0,0,4184.75840000292,4.531529599999885,24320
P03_WHITE_Y_take_0007,182,62,120,120,0,0,0,4107.094600000437,4.445311599999968,26504
P03_WHITE_Y_take_0008,183,43,140,140,0,0,0,4768.526299999394,5.120718900000156,23252
P03_WHITE_Y_take_0009,181,48,133,133,0,0,0,4552.604699998028,4.9387298000001465,16028
P03_WHITE_Y_take_0010,182,58,124,124,0,0,0,4195.427299998755,4.573749900000166,23684
P04_BLACK_A_take_0001,150,48,102,102,0,0,0,3468.886100004056,3.6099724000000606,30392
P04_BLACK_A_take_0002,151,44,107,107,0,0,0,3763.5327000025427,3.904681499999697,25208
P04_BLACK_A_take_0003,151,62,89,89,0,0,0,3070.6365999976697,3.199672300000202,7280
P04_BLACK_A_take_0004,152,54,98,98,0,0,0,3373.2218000018293,3.505257100000108,23020
P04_BLACK_A_take_0005,152,51,101,101,0,0,0,3514.342999998007,3.649313699999766,5692
P04_BLACK_A_take_0006,152,58,94,94,0,0,0,3390.775300002133,3.526089899999988,18664
P04_BLACK_A_take_0007,152,45,107,107,0,0,0,3781.7034999998214,3.9325317999996514,30392
P04_BLACK_A_take_0008,150,55,95,95,0,0,0,3338.8584999993327,3.4592828999998346,7280
P04_BLACK_A_take_0009,151,47,104,104,0,0,0,3524.7086999988824,3.66207200000008,27164
P04_BLACK_A_take_0010,148,40,108,108,0,0,0,3719.540999999481,3.857430100000329,30392
P04_BLACK_B_take_0001,151,42,109,109,0,0,0,3831.7099000014423,3.9756397000001016,26520
P04_BLACK_B_take_0002,152,39,113,113,0,0,0,3812.8021999978046,3.9618184999999357,23252
P04_BLACK_B_take_0003,150,47,103,103,0,0,0,3537.6840000012635,3.6771450000001096,27164
P04_BLACK_B_take_0004,151,40,111,111,0,0,0,3751.6438999991806,3.9016143000003467,22812
P04_BLACK_B_take_0005,151,41,110,110,0,0,0,3798.8305999992917,3.9523591000001943,26504
P04_BLACK_B_take_0006,152,50,102,102,0,0,0,3417.552400002023,3.5602304999997614,24320
P04_BLACK_B_take_0007,151,58,93,93,0,0,0,3309.0715999992426,3.436425500000041,23684
P04_BLACK_B_take_0008,141,52,89,89,0,0,0,3029.860099999496,3.152681399999892,24320
P04_BLACK_B_take_0009,152,51,101,101,0,0,0,3456.3304000016615,3.5875496999997267,16028
P04_BLACK_B_take_0010,151,38,113,113,0,0,0,3909.035700000004,4.048899900000379,13740
P04_BLACK_C_take_0001,153,51,102,102,0,0,0,3485.226999997849,3.629092000000128,25208
P04_BLACK_C_take_0002,150,61,89,89,0,0,0,3063.792400001148,3.1879626999998436,26520
P04_BLACK_C_take_0003,151,67,84,84,0,0,0,2973.4797999994953,3.0915474000003087,23020
P04_BLACK_C_take_0004,150,56,94,94,0,0,0,3243.356099999346,3.3753873000000567,22812
P04_BLACK_C_take_0005,151,39,112,112,0,0,0,3827.2580999960155,3.971524600000066,5692
P04_BLACK_C_take_0006,151,63,88,88,0,0,0,3141.903500000808,3.2600930999997217,18664
P04_BLACK_C_take_0007,152,88,64,64,0,0,0,2238.383099998373,2.3186992999999347,19472
P04_BLACK_C_take_0008,152,50,102,102,0,0,0,3548.3091999985845,3.6863424999996823,25208
P04_BLACK_C_take_0009,152,61,91,91,0,0,0,3060.7181999948807,3.191385000000082,7280
P04_BLACK_C_take_0010,154,50,104,104,0,0,0,3453.5109999947053,3.6183626000001823,19472
P04_BLACK_E_take_0001,143,58,85,85,0,0,0,2992.88899999965,3.1055547000000843,5692
P04_BLACK_E_take_0002,154,59,95,95,0,0,0,3187.83379999968,3.4058390999998664,25208
P04_BLACK_E_take_0003,151,47,104,104,0,0,0,3520.5382000003738,3.6660532999999305,30392
P04_BLACK_E_take_0004,152,48,104,104,0,0,0,3588.6653999973532,3.7288635999998405,27164
P04_BLACK_E_take_0005,154,44,110,110,0,0,0,3791.0655999967275,4.044586800000161,7280
P04_BLACK_E_take_0006,155,66,89,89,0,0,0,2920.987400003014,3.1379259000000275,27164
P04_BLACK_E_take_0007,154,59,95,95,0,0,0,3266.3352000004124,3.4963512999997874,27164
P04_BLACK_E_take_0008,152,64,88,88,0,0,0,3047.4277999996957,3.162735800000064,26520
P04_BLACK_E_take_0009,153,67,86,86,0,0,0,2959.040499999901,3.078825699999925,7280
P04_BLACK_E_take_0010,154,22,132,132,0,0,0,4392.570999996224,4.684936300000118,26520
P04_BLACK_I_take_0001,152,54,98,98,0,0,0,3354.875600001378,3.4888622000003124,22812
P04_BLACK_I_take_0002,152,55,97,97,0,0,0,3366.664099999525,3.4927840999998807,26504
P04_BLACK_I_take_0003,153,14,139,139,0,0,0,4767.425799998364,4.945670699999937,27164
P04_BLACK_I_take_0004,153,61,92,92,0,0,0,3166.7104999983167,3.27801670000008,26520
P04_BLACK_I_take_0005,154,50,104,104,0,0,0,3431.2139000012394,3.6981730000002244,22812
P04_BLACK_I_take_0006,149,40,109,109,0,0,0,3735.7406000028277,3.881129400000191,23020
P04_BLACK_I_take_0007,157,60,97,97,0,0,0,3243.7008999963837,3.486807300000237,24320
P04_BLACK_I_take_0008,154,68,86,86,0,0,0,2912.0286999982454,3.1086702000002333,26504
P04_BLACK_I_take_0009,155,48,107,107,0,0,0,3630.794300000616,3.8903384000000187,26520
P04_BLACK_I_take_0010,152,61,91,91,0,0,0,3134.7859000024982,3.264356399999997,23684
P04_BLACK_L_take_0001,150,56,94,94,0,0,0,3103.8789000003817,3.227769999999964,26504
P04_BLACK_L_take_0002,152,49,103,103,0,0,0,3521.2650999960715,3.660460299999613,13740
P04_BLACK_L_take_0003,151,48,103,103,0,0,0,3532.2973000020284,3.66659269999991,23252
P04_BLACK_L_take_0004,150,56,94,94,0,0,0,3247.604500003945,3.370450599999913,23684
P04_BLACK_L_take_0005,151,50,101,101,0,0,0,3520.985300000575,3.6506352000001243,24320
P04_BLACK_L_take_0006,150,43,107,107,0,0,0,3857.626299999083,4.005908099999942,13740
P04_BLACK_L_take_0007,152,58,94,94,0,0,0,3171.0159000012936,3.2973965999999564,23020
P04_BLACK_L_take_0008,152,51,101,101,0,0,0,3483.7347000006957,3.6122371000001294,5692
P04_BLACK_L_take_0009,154,66,88,88,0,0,0,2908.086499998717,3.122697999999673,23684
P04_BLACK_L_take_0010,154,51,103,103,0,0,0,3486.1245000001873,3.7328339999999116,13740
P04_BLACK_M_take_0001,153,55,98,98,0,0,0,3275.8443000002444,3.40597119999984,22812
P04_BLACK_M_take_0002,153,54,99,99,0,0,0,3375.086399999418,3.5078960000000734,26504
P04_BLACK_M_take_0003,154,52,102,102,0,0,0,3380.092800002785,3.5815542000000278,23020
P04_BLACK_M_take_0004,153,38,115,115,0,0,0,4059.9301000020205,4.213298699999996,23684
P04_BLACK_M_take_0005,154,55,99,99,0,0,0,3427.2117000018625,3.6831114999999954,5692
P04_BLACK_M_take_0006,155,48,107,107,0,0,0,3664.591899998868,3.9062463000000207,22812
P04_BLACK_M_take_0007,155,57,98,98,0,0,0,3371.693199997935,3.6065496999999596,26504
P04_BLACK_M_take_0008,153,54,99,99,0,0,0,3475.7276999998794,3.6111267999999654,13740
